client_name,truck_size,truck_origin_warehouse,delivery_timestamp,total_weight,brand_1_coffee_proportion,driver_id,is_fresh_client,postcode,business_category,floor,partnership_level,box_count,brand_2_coffee_proportion,brand_3_coffee_proportion
"Tapia, Miranda and Cabrera",Truck,Zona Franca,2022-05-17 09:52:44,102.49,0.54,D63,False,08006,Cafe/Restaurant,Street level,Regular,12,0.3226204423626053,0.13737955763739468
"Tapia, Miranda and Cabrera",Van,Baró de Viver,2022-01-12 17:19:34,104.44,0.41,D63,False,08006,Cafe/Restaurant,Street level,Regular,7,0.2204809300090884,0.36951906999091166
"Tapia, Miranda and Cabrera",Van,Zona Franca,2022-04-24 15:33:52,24.66,0.87,D63,False,08006,Cafe/Restaurant,Street level,Regular,3,0.008935304706474759,0.12106469529352525
"Cáceres, Buendía and Quesada",Combi,Baró de Viver,2022-04-16 11:04:24,89.36,0.72,D63,False,08030,Coffee Retailers,Street level,Regular,6,0.13945840506756496,0.14054159493243507
"Cáceres, Buendía and Quesada",Combi,Zona Franca,2022-04-25 11:58:08,59.26,0.68,D63,False,08030,Coffee Retailers,Street level,Regular,5,0.28478237719823984,0.03521762280176011
"Cáceres, Buendía and Quesada",Van,Baró de Viver,2022-03-11 15:29:26,63.81,0.73,D63,False,08030,Coffee Retailers,Street level,Regular,8,0.037082566921688105,0.23291743307831192
"Cáceres, Buendía and Quesada",Van,Zona Franca,2022-01-19 12:54:51,70.43,0.65,D63,True,08030,Coffee Retailers,Street level,Regular,9,0.17744854050206332,0.17255145949793665
Goñi Group,Combi,Zona Franca,2022-01-19 14:12:25,75.71,0.47,D63,False,08028,Cafe/Restaurant,Street level,Regular,8,0.22540167420099957,0.3045983257990005
Goñi Group,Truck,Baró de Viver,2022-05-10 13:14:06,15.23,0.85,D63,False,08028,Cafe/Restaurant,Street level,Regular,3,0.045576790384954824,0.1044232096150452
Goñi Group,Combi,Zona Franca,2022-01-25 14:33:24,34.11,0.7,D63,True,08028,Cafe/Restaurant,Street level,Regular,3,0.10530507155125324,0.1946949284487468
Goñi Group,Van,Baró de Viver,2022-03-15 08:22:10,112.59,0.87,D63,False,08028,Cafe/Restaurant,Street level,Regular,20,0.06516780905850908,0.06483219094149092
Goñi Group,Van,Baró de Viver,2022-03-20 08:54:11,63.26,0.44,D63,False,08028,Cafe/Restaurant,Street level,Regular,6,0.15249188573707112,0.40750811426292893
Goñi Group,Combi,Zona Franca,2022-05-17 11:12:46,27.8,0.8,D63,True,08028,Cafe/Restaurant,Street level,Regular,6,0.09047339669655885,0.1095266033034411
Valero Ltd,Truck,Zona Franca,2022-01-17 11:14:37,51.1,0.45,D63,True,08038,Cafe/Restaurant,Ground Floor,Regular,9,0.4479395755802041,0.10206042441979596
Guijarro-Uría,Truck,Baró de Viver,2022-01-04 08:29:34,74.47,0.68,D63,False,08042,Cafe/Restaurant,Street level,Diamond,7,0.04884703137222622,0.2711529686277737
Guijarro-Uría,Combi,Baró de Viver,2022-04-10 09:32:37,45.49,0.73,D63,False,08042,Cafe/Restaurant,Street level,Diamond,6,0.21295147386004099,0.05704852613995903
Guijarro-Uría,Van,Zona Franca,2022-01-01 13:11:29,15.88,0.49,D63,False,08042,Cafe/Restaurant,Street level,Diamond,3,0.2727486914969676,0.2372513085030324
"Huguet, Manso and Almansa",Van,Zona Franca,2022-01-04 11:22:47,87.34,0.5,D63,False,08016,Hotels,Street level,Regular,9,0.18259893583480657,0.3174010641651934
Pulido-Dueñas,Van,Baró de Viver,2022-03-14 19:59:23,18.19,0.52,D63,True,08034,Hotels,Street level,Regular,3,0.3350728768196026,0.14492712318039735
Pulido-Dueñas,Combi,Baró de Viver,2022-04-12 12:29:01,38.17,0.85,D63,False,08034,Hotels,Street level,Regular,3,0.13165996825452692,0.018340031745473107
Pulido-Dueñas,Truck,Zona Franca,2022-02-16 13:35:31,38.74,0.67,D63,False,08034,Hotels,Street level,Regular,4,0.30648285120268454,0.023517148797315424
Pulido-Dueñas,Van,Baró de Viver,2022-02-19 18:24:22,63.07,0.72,D63,False,08034,Hotels,Street level,Regular,8,0.11009959516431114,0.16990040483568888
Pastor-Folch,Truck,Zona Franca,2022-05-17 13:02:19,52.95,0.82,D63,False,08039,Cafe/Restaurant,Street level,Regular,7,0.03603348260949267,0.14396651739050736
Pastor-Folch,Truck,Baró de Viver,2022-01-10 15:53:10,98.26,0.66,D63,True,08039,Cafe/Restaurant,Street level,Regular,14,0.22030903647761269,0.11969096352238728
Pastor-Folch,Combi,Baró de Viver,2022-01-19 19:52:40,99.74,0.46,D63,False,08039,Cafe/Restaurant,Street level,Regular,9,0.2909170879088752,0.24908291209112482
Pastor-Folch,Van,Zona Franca,2022-03-01 13:15:58,118.02,0.66,D63,False,08039,Cafe/Restaurant,Street level,Regular,11,0.04864710836145511,0.29135289163854483
Pastor-Folch,Van,Baró de Viver,2022-04-30 15:15:34,96.52,0.53,D63,False,08039,Cafe/Restaurant,Street level,Regular,8,0.1752371590196057,0.2947628409803943
Pastor-Folch,Combi,Baró de Viver,2022-02-01 16:10:50,51.28,0.97,D63,False,08039,Cafe/Restaurant,Street level,Regular,10,0.02127784439286117,0.008722155607138855
Nevado-Duarte,Van,Baró de Viver,2022-03-05 14:31:17,64.65,0.58,D63,False,08029,Cafe/Restaurant,Street level,Key Account,5,0.27019214239912426,0.14980785760087578
Nevado-Duarte,Combi,Zona Franca,2022-03-20 14:13:27,97.15,0.7,D63,False,08029,Cafe/Restaurant,Street level,Key Account,8,0.19241223961345624,0.1075877603865438
"Revilla, Navas and Llopis",Combi,Zona Franca,2022-02-20 08:06:05,62.42,0.96,D63,False,08031,Cafe/Restaurant,Street level,Regular,8,0.016163195628121817,0.02383680437187822
"Revilla, Navas and Llopis",Van,Zona Franca,2022-03-09 11:29:31,50.24,0.98,D63,False,08031,Cafe/Restaurant,Street level,Regular,5,0.01770963382524232,0.0022903661747576964
"Revilla, Navas and Llopis",Van,Baró de Viver,2022-02-17 10:21:17,115.24,0.55,D63,False,08031,Cafe/Restaurant,Street level,Regular,13,0.41439727218721184,0.035602727812788115
"Revilla, Navas and Llopis",Van,Baró de Viver,2022-01-24 17:34:26,119.79,0.46,D63,False,08031,Cafe/Restaurant,Street level,Regular,12,0.4018102287091693,0.1381897712908307
"Revilla, Navas and Llopis",Van,Zona Franca,2022-03-19 19:47:57,48.7,0.88,D63,False,08031,Cafe/Restaurant,Street level,Regular,4,0.0800335117846723,0.039966488215327695
"Revilla, Navas and Llopis",Truck,Baró de Viver,2022-05-10 20:25:03,107.55,0.71,D63,False,08031,Cafe/Restaurant,Street level,Regular,16,0.06388856262323775,0.2261114373767623
Gomis Inc,Combi,Baró de Viver,2022-04-17 14:40:52,94.6,0.54,D63,False,08023,Cafe/Restaurant,Street level,Key Account,17,0.2613731919974885,0.19862680800251148
Gomis Inc,Van,Baró de Viver,2022-04-17 18:41:25,90.23,0.94,D63,False,08023,Cafe/Restaurant,Street level,Key Account,7,0.025149193359773683,0.03485080664022637
Gomis Inc,Van,Zona Franca,2022-02-11 13:55:16,119.79,0.89,D63,False,08023,Cafe/Restaurant,Street level,Key Account,9,0.019674900686346412,0.09032509931365357
Borrás-Samper,Truck,Zona Franca,2022-04-26 20:38:40,47.91,0.73,D63,False,08009,Hotels,Street level,Key Account,5,0.14075116634672508,0.12924883365327494
Borrás-Samper,Van,Zona Franca,2022-02-23 09:25:56,41.14,0.88,D63,False,08009,Hotels,Street level,Key Account,4,0.02852668755975171,0.09147331244024828
Montenegro LLC,Van,Baró de Viver,2022-03-11 13:17:48,24.32,0.8,D63,False,08031,Cafe/Restaurant,Street level,Regular,3,0.0888662018238812,0.11113379817611875
Montenegro LLC,Van,Zona Franca,2022-04-13 12:38:11,69.73,0.97,D63,False,08031,Cafe/Restaurant,Street level,Regular,13,0.013424813451831602,0.016575186548168426
Montenegro LLC,Truck,Baró de Viver,2022-01-16 17:14:33,80.2,1.0,D63,False,08031,Cafe/Restaurant,Street level,Regular,7,0.0,0.0
"Alvarado, Gascón and Arana",Truck,Zona Franca,2022-01-16 10:33:53,118.29,0.78,D63,False,08020,Hotels,Street level,Regular,21,0.02933682639470751,0.19066317360529247
"Alvarado, Gascón and Arana",Van,Zona Franca,2022-02-05 10:12:38,11.41,0.9,D63,False,08020,Hotels,Street level,Regular,1,0.029166307507250216,0.07083369249274976
"Peinado, Cuervo and Vidal",Van,Baró de Viver,2022-03-17 08:40:48,109.62,0.85,D63,False,08033,Cafe/Restaurant,Ground Floor,Regular,9,0.013975533610420246,0.13602446638957977
Somoza Ltd,Van,Baró de Viver,2022-01-05 13:37:18,82.39,0.78,D63,False,08014,Cafe/Restaurant,Ground Floor,Regular,8,0.13789832010816502,0.08210167989183495
Somoza Ltd,Van,Baró de Viver,2022-04-10 20:48:49,66.31,0.67,D63,False,08014,Cafe/Restaurant,Ground Floor,Regular,11,0.13297082241853342,0.19702917758146654
Somoza Ltd,Combi,Baró de Viver,2022-01-22 09:26:23,115.47,1.0,D63,False,08014,Cafe/Restaurant,Ground Floor,Regular,11,0.0,0.0
Somoza Ltd,Combi,Baró de Viver,2022-04-19 15:07:04,92.8,0.79,D63,False,08014,Cafe/Restaurant,Ground Floor,Regular,14,0.04949503090760301,0.16050496909239695
Somoza Ltd,Combi,Baró de Viver,2022-03-22 10:34:47,20.01,0.91,D63,True,08014,Cafe/Restaurant,Ground Floor,Regular,3,0.05120243629423799,0.03879756370576198
Vilar PLC,Van,Baró de Viver,2022-01-18 14:16:53,94.7,0.43,D63,True,08003,Cafe/Restaurant,Street level,Regular,12,0.05865131278343797,0.5113486872165621
Vilar PLC,Combi,Baró de Viver,2022-05-21 09:13:12,10.23,0.89,D63,False,08003,Cafe/Restaurant,Street level,Regular,2,0.00586663906261672,0.10413336093738326
Vilar PLC,Van,Baró de Viver,2022-03-23 13:19:09,13.78,0.62,D63,False,08003,Cafe/Restaurant,Street level,Regular,1,0.04121662347402334,0.3387833765259767
Vilar PLC,Van,Baró de Viver,2022-03-24 19:17:28,90.81,0.62,D63,False,08003,Cafe/Restaurant,Street level,Regular,7,0.293082272479125,0.08691772752087501
Vilar PLC,Van,Zona Franca,2022-04-24 10:14:46,87.35,0.46,D63,False,08003,Cafe/Restaurant,Street level,Regular,15,0.18335649378080435,0.3566435062191957
Vilar PLC,Van,Zona Franca,2022-02-06 14:37:02,86.73,0.73,D63,False,08003,Cafe/Restaurant,Street level,Regular,10,0.10778691210157561,0.16221308789842442
Jover-Murcia,Van,Baró de Viver,2022-03-24 20:29:55,29.04,0.44,D63,False,08021,Hotels,Street level,Regular,5,0.3800427777974015,0.17995722220259858
Jover-Murcia,Truck,Baró de Viver,2022-02-27 13:55:34,56.2,0.4,D63,False,08021,Hotels,Street level,Regular,9,0.566183488578391,0.03381651142160902
Jover-Murcia,Combi,Baró de Viver,2022-05-11 11:47:41,66.92,0.67,D63,False,08021,Hotels,Street level,Regular,12,0.14434412270001248,0.18565587729998748
Jover-Murcia,Truck,Baró de Viver,2022-03-19 09:41:01,76.58,0.95,D63,False,08021,Hotels,Street level,Regular,8,0.00743373425025899,0.04256626574974105
Jover-Murcia,Truck,Baró de Viver,2022-01-19 09:30:11,31.36,0.6,D63,False,08021,Hotels,Street level,Regular,4,0.27281931698628836,0.12718068301371166
Quero-Dueñas,Van,Zona Franca,2022-04-01 20:35:20,51.56,0.99,D63,False,08904,Cafe/Restaurant,Street level,Regular,5,0.009679966907294472,0.0003200330927055368
Morell Group,Van,Zona Franca,2022-03-27 10:00:27,64.76,0.74,D63,False,08019,Cafe/Restaurant,Street level,Regular,5,0.02104408785899308,0.23895591214100692
Morell Group,Van,Zona Franca,2022-05-17 19:43:56,63.64,0.4,D63,False,08019,Cafe/Restaurant,Street level,Regular,8,0.4908332822226992,0.1091667177773008
"Llorens, Mayo and Gallardo",Combi,Baró de Viver,2022-01-09 18:07:01,93.83,0.54,D63,False,08017,Cafe/Restaurant,Street level,Key Account,9,0.07821925980304943,0.3817807401969505
"Llorens, Mayo and Gallardo",Van,Zona Franca,2022-02-18 20:47:08,90.84,0.45,D63,False,08017,Cafe/Restaurant,Street level,Key Account,12,0.4927358264594034,0.05726417354059665
"Llorens, Mayo and Gallardo",Combi,Zona Franca,2022-03-07 11:49:39,116.61,0.84,D63,False,08017,Cafe/Restaurant,Street level,Key Account,8,0.0449513247010904,0.11504867529890964
Chamorro PLC,Combi,Zona Franca,2022-01-12 14:42:25,102.87,0.86,D63,False,08031,Cafe/Restaurant,Street level,Regular,14,0.09081330464114354,0.049186695358856475
Chamorro PLC,Combi,Zona Franca,2022-04-08 12:18:48,107.9,0.7,D63,True,08031,Cafe/Restaurant,Street level,Regular,19,0.22327123982303762,0.07672876017696242
"Cózar, Armas and Zamora",Truck,Baró de Viver,2022-03-30 19:03:06,20.67,0.79,D63,False,08035,Cafe/Restaurant,Street level,Regular,2,0.16392772698835767,0.046072273011642295
"Real, Carranza and Marqués",Van,Zona Franca,2022-04-29 15:38:42,39.92,0.77,D63,False,08015,Cafe/Restaurant,Street level,Regular,7,0.17736130230862684,0.05263869769137314
"Real, Carranza and Marqués",Van,Baró de Viver,2022-02-28 10:53:44,38.35,0.4,D63,False,08015,Cafe/Restaurant,Street level,Regular,5,0.48954726456648584,0.11045273543351414
Llamas Ltd,Combi,Baró de Viver,2022-01-15 10:34:51,109.34,0.49,D63,False,08041,Coffee Retailers,Ground Floor,Regular,8,0.12586231827256572,0.3841376817274343
Llamas Ltd,Combi,Zona Franca,2022-04-29 16:28:29,48.46,0.61,D63,False,08041,Coffee Retailers,Ground Floor,Regular,6,0.003161765283218564,0.38683823471678147
Llamas Ltd,Van,Zona Franca,2022-04-30 20:18:04,47.23,0.45,D63,False,08041,Coffee Retailers,Ground Floor,Regular,7,0.14687496438449307,0.40312503561550694
"Vilaplana, Pi and Egea",Van,Zona Franca,2022-03-05 14:36:13,15.46,0.48,D63,False,08014,Hotels,Ground Floor,Key Account,2,0.3078222118540016,0.2121777881459984
"Mariño, Sanz and Montserrat",Truck,Baró de Viver,2022-03-21 19:41:43,58.79,0.52,D63,True,08005,Cafe/Restaurant,Street level,Regular,6,0.1380824260575948,0.3419175739424052
"Mariño, Sanz and Montserrat",Van,Zona Franca,2022-02-05 15:38:24,47.48,0.41,D63,False,08005,Cafe/Restaurant,Street level,Regular,7,0.02723122549483987,0.5627687745051602
"Girón, Jordán and Hidalgo",Van,Baró de Viver,2022-01-05 18:22:12,35.32,0.62,D63,False,08227,Hotels,Other,Regular,4,0.34217013456074963,0.037829865439250376
Izquierdo-Castillo,Combi,Baró de Viver,2022-04-05 12:29:02,6.53,0.73,D63,False,08026,Cafe/Restaurant,Street level,Regular,1,0.2165284120413358,0.05347158795866422
Izquierdo-Castillo,Truck,Baró de Viver,2022-04-12 20:27:39,42.91,0.93,D63,False,08026,Cafe/Restaurant,Street level,Regular,4,0.027934624023916648,0.0420653759760833
"Verdú, Arcos and Pineda",Van,Baró de Viver,2022-04-05 11:42:05,68.89,0.93,D63,False,08016,Cafe/Restaurant,Street level,Regular,13,0.01236403771757918,0.05763596228242077
"Verdú, Arcos and Pineda",Combi,Baró de Viver,2022-01-01 13:21:34,59.39,0.84,D63,False,08016,Cafe/Restaurant,Street level,Regular,5,0.04014236379644054,0.11985763620355949
"Verdú, Arcos and Pineda",Van,Zona Franca,2022-02-14 09:36:04,30.84,0.64,D63,False,08016,Cafe/Restaurant,Street level,Regular,3,0.25749341127473424,0.10250658872526575
"Verdú, Arcos and Pineda",Van,Baró de Viver,2022-03-21 08:43:48,79.7,0.57,D63,True,08016,Cafe/Restaurant,Street level,Regular,9,0.1383111662893924,0.2916888337106076
Perera-Bolaños,Van,Zona Franca,2022-02-07 11:38:38,72.91,0.84,D63,False,08013,Cafe/Restaurant,Street level,Regular,6,0.05360574876496839,0.10639425123503164
Perera-Bolaños,Van,Zona Franca,2022-05-16 10:06:22,107.56,0.8,D63,False,08013,Cafe/Restaurant,Street level,Regular,15,0.05865987392377773,0.14134012607622223
Perera-Bolaños,Van,Baró de Viver,2022-01-04 11:59:19,66.19,0.61,D63,False,08013,Cafe/Restaurant,Street level,Regular,7,0.31472060883417413,0.07527939116582588
Perera-Bolaños,Van,Baró de Viver,2022-02-27 11:51:38,70.53,0.66,D63,False,08013,Cafe/Restaurant,Street level,Regular,12,0.08884407973348385,0.2511559202665161
Perera-Bolaños,Combi,Zona Franca,2022-02-15 20:15:27,79.83,0.85,D63,False,08013,Cafe/Restaurant,Street level,Regular,13,0.13269617211806614,0.01730382788193388
Perera-Bolaños,Combi,Baró de Viver,2022-03-11 11:02:54,39.89,0.85,D63,False,08013,Cafe/Restaurant,Street level,Regular,4,0.022285965510667315,0.12771403448933272
Perera-Bolaños,Van,Baró de Viver,2022-02-12 19:52:39,6.6,0.59,D63,False,08013,Cafe/Restaurant,Street level,Regular,2,0.34844728410306497,0.06155271589693506
Perera-Bolaños,Van,Baró de Viver,2022-02-11 12:49:22,60.56,0.5,D63,False,08013,Cafe/Restaurant,Street level,Regular,5,0.19728675229814663,0.30271324770185337
Perera-Bolaños,Combi,Zona Franca,2022-03-20 19:41:05,62.41,0.8,D63,False,08013,Cafe/Restaurant,Street level,Regular,10,0.08589505933791733,0.11410494066208263
Roselló-Abril,Van,Zona Franca,2022-04-01 19:29:29,34.07,0.56,D63,False,08042,Hotels,Other,Regular,3,0.3833027363744503,0.056697263625549665
Roselló-Abril,Combi,Zona Franca,2022-05-21 08:19:41,72.83,0.82,D63,False,08042,Hotels,Other,Regular,8,0.08969692857224452,0.09030307142775552
Almagro and Sons,Truck,Baró de Viver,2022-04-17 08:03:17,118.34,0.4,D63,False,08750,Cafe/Restaurant,Street level,Key Account,12,0.16637900404738848,0.4336209959526115
Almagro and Sons,Van,Zona Franca,2022-04-28 10:24:55,14.34,0.62,D63,False,08750,Cafe/Restaurant,Street level,Key Account,2,0.022307310364553645,0.35769268963544637
"Reina, Mateos and Cornejo",Truck,Zona Franca,2022-03-29 18:04:16,95.72,0.5,D63,False,08040,Cafe/Restaurant,Street level,Key Account,7,0.4063323511976959,0.0936676488023041
"Reina, Mateos and Cornejo",Van,Baró de Viver,2022-05-03 08:58:19,62.51,0.54,D63,False,08040,Cafe/Restaurant,Street level,Key Account,8,0.43016056394788615,0.02983943605211381
"Reina, Mateos and Cornejo",Van,Baró de Viver,2022-05-17 11:56:42,108.0,0.71,D63,False,08040,Cafe/Restaurant,Street level,Key Account,9,0.09375908105250336,0.19624091894749668
"Quesada, Lucena and Alfaro",Combi,Zona Franca,2022-01-27 12:24:31,47.8,0.58,D63,False,08075,Cafe/Restaurant,Other,Key Account,4,0.03858948915023728,0.38141051084976274
Arellano PLC,Van,Zona Franca,2022-03-20 16:26:14,39.88,0.58,D63,False,08029,Cafe/Restaurant,Street level,Regular,6,0.31869293834043905,0.10130706165956099
Arellano PLC,Combi,Baró de Viver,2022-04-11 13:40:26,87.99,0.98,D63,False,08029,Cafe/Restaurant,Street level,Regular,11,0.01540763781829094,0.0045923621817090775
"Guerra, Quiroga and Vilaplana",Truck,Baró de Viver,2022-05-16 13:00:52,86.07,0.41,D63,False,08008,Cafe/Restaurant,Street level,Key Account,11,0.05475574748999636,0.5352442525100037
"Guerra, Quiroga and Vilaplana",Van,Zona Franca,2022-01-06 09:07:44,56.23,1.0,D63,False,08008,Cafe/Restaurant,Street level,Key Account,10,0.0,0.0
"Guerra, Quiroga and Vilaplana",Van,Zona Franca,2022-03-17 20:44:38,24.63,0.66,D63,False,08008,Cafe/Restaurant,Street level,Key Account,4,0.1329240782595503,0.20707592174044967
"Guerra, Quiroga and Vilaplana",Van,Zona Franca,2022-04-16 09:34:13,54.33,0.62,D63,False,08008,Cafe/Restaurant,Street level,Key Account,9,0.36855821974406844,0.011441780255931566
"Guerra, Quiroga and Vilaplana",Truck,Baró de Viver,2022-04-30 09:31:59,89.35,0.79,D63,False,08008,Cafe/Restaurant,Street level,Key Account,9,0.18797548525151642,0.022024514748483548
"Guerra, Quiroga and Vilaplana",Van,Zona Franca,2022-02-05 08:35:42,85.89,0.47,D63,True,08008,Cafe/Restaurant,Street level,Key Account,13,0.45901473258143943,0.0709852674185606
"Falcó, Mateos and Luz",Van,Zona Franca,2022-04-24 12:23:45,62.22,0.59,D63,False,08025,Coffee Retailers,Street level,Regular,13,0.0355841877313275,0.37441581226867254
"Falcó, Mateos and Luz",Van,Zona Franca,2022-03-11 13:17:54,73.06,0.53,D63,False,08025,Coffee Retailers,Street level,Regular,12,0.27977309989316573,0.19022690010683424
Esteban LLC,Combi,Baró de Viver,2022-02-18 17:49:37,19.85,0.72,D63,True,08031,Cafe/Restaurant,Street level,Key Account,3,0.06703884581096188,0.21296115418903816
Esteban LLC,Van,Baró de Viver,2022-04-19 09:29:03,45.56,0.71,D63,False,08031,Cafe/Restaurant,Street level,Key Account,9,0.051320691580159256,0.23867930841984078
Esteban LLC,Van,Zona Franca,2022-04-26 20:35:28,29.8,0.61,D63,False,08031,Cafe/Restaurant,Street level,Key Account,6,0.3469968248636992,0.04300317513630081
Esteban LLC,Combi,Baró de Viver,2022-02-17 18:32:08,55.92,0.46,D63,False,08031,Cafe/Restaurant,Street level,Key Account,7,0.17343707698600663,0.3665629230139934
Esteban LLC,Combi,Zona Franca,2022-01-10 14:40:08,79.04,0.52,D63,False,08031,Cafe/Restaurant,Street level,Key Account,6,0.06761996598188914,0.41238003401811085
Esteban LLC,Truck,Zona Franca,2022-04-25 13:47:24,100.04,0.88,D63,False,08031,Cafe/Restaurant,Street level,Key Account,8,0.01700199148613182,0.10299800851386817
Santamaría Inc,Truck,Baró de Viver,2022-02-11 19:45:44,84.75,0.78,D63,False,08017,Hotels,Street level,Key Account,7,0.156742295131364,0.06325770486863597
"Porta, Marti and Varela",Van,Zona Franca,2022-05-20 17:15:31,110.53,0.91,D63,False,08006,Cafe/Restaurant,Street level,Regular,10,0.04782370851874913,0.042176291481250835
Belmonte-Leal,Van,Baró de Viver,2022-02-28 14:59:38,26.11,0.74,D63,False,08009,Cafe/Restaurant,Street level,Key Account,3,0.12743489841958325,0.13256510158041676
Belmonte-Leal,Combi,Zona Franca,2022-03-31 20:54:20,66.82,0.43,D63,False,08009,Cafe/Restaurant,Street level,Key Account,7,0.2502156871075203,0.31978431289247977
Belmonte-Leal,Van,Baró de Viver,2022-05-21 09:20:19,18.08,0.57,D63,False,08009,Cafe/Restaurant,Street level,Key Account,3,0.3732779664142994,0.05672203358570066
Verdú Ltd,Van,Zona Franca,2022-03-02 09:16:05,89.85,0.45,D63,False,08012,Cafe/Restaurant,Street level,Regular,9,0.4321112771376759,0.11788872286232416
Verdú Ltd,Combi,Zona Franca,2022-05-14 18:19:47,100.14,0.44,D63,False,08012,Cafe/Restaurant,Street level,Regular,11,0.14504711535563433,0.41495288464436575
Verdú Ltd,Combi,Baró de Viver,2022-04-12 19:23:41,49.42,0.79,D63,False,08012,Cafe/Restaurant,Street level,Regular,9,0.16784702026998152,0.04215297973001844
Osuna-Segovia,Van,Zona Franca,2022-05-02 14:56:57,16.86,0.88,D63,False,08017,Coffee Retailers,Street level,Regular,3,0.01960287250638145,0.10039712749361854
Osuna-Segovia,Combi,Baró de Viver,2022-01-28 10:32:45,59.71,0.75,D63,False,08017,Coffee Retailers,Street level,Regular,5,0.1562046875681383,0.0937953124318617
"Garcés, Leal and Márquez",Van,Baró de Viver,2022-02-18 17:05:25,10.98,1.0,D63,False,08041,Cafe/Restaurant,Street level,Regular,1,0.0,0.0
"Garcés, Leal and Márquez",Truck,Zona Franca,2022-04-25 11:56:47,13.34,0.52,D63,True,08041,Cafe/Restaurant,Street level,Regular,3,0.2363622570827859,0.24363774291721407
"Garcés, Leal and Márquez",Combi,Zona Franca,2022-03-09 13:59:39,60.32,0.97,D63,True,08041,Cafe/Restaurant,Street level,Regular,9,0.012996316999829042,0.017003683000170987
Goicoechea PLC,Van,Zona Franca,2022-05-13 18:14:22,64.62,0.79,D63,False,08031,Cafe/Restaurant,Ground Floor,Regular,8,0.15629737715020492,0.053702622849795045
"Galiano, Meléndez and Flor",Truck,Baró de Viver,2022-05-18 10:49:19,98.31,0.41,D63,False,08980,Cafe/Restaurant,Ground Floor,Regular,12,0.09010831214491997,0.4998916878550801
Bayona-Benavides,Van,Zona Franca,2022-05-19 11:14:48,85.96,0.78,D63,False,08029,Coffee Retailers,Street level,Regular,9,0.06265414683802235,0.15734585316197763
Oliver Inc,Van,Baró de Viver,2022-02-21 11:55:18,79.67,0.6,D63,False,08035,Coffee Retailers,Street level,Regular,14,0.008256735443393426,0.3917432645566066
Oliver Inc,Combi,Zona Franca,2022-04-03 08:37:52,65.3,0.58,D63,False,08035,Coffee Retailers,Street level,Regular,5,0.1404944391929173,0.2795055608070828
Oliver Inc,Van,Zona Franca,2022-04-14 10:10:26,47.89,0.76,D63,False,08035,Coffee Retailers,Street level,Regular,6,0.00872659077603946,0.23127340922396053
Oliver Inc,Van,Baró de Viver,2022-02-15 15:34:13,103.85,0.46,D63,False,08035,Coffee Retailers,Street level,Regular,8,0.5367980622341777,0.003201937765822338
Oliver Inc,Combi,Zona Franca,2022-03-02 20:46:17,62.67,0.92,D63,True,08035,Coffee Retailers,Street level,Regular,6,0.0007434592015925019,0.07925654079840745
Oliver Inc,Van,Baró de Viver,2022-02-26 10:53:23,16.14,0.77,D63,False,08035,Coffee Retailers,Street level,Regular,3,0.16274515807502482,0.06725484192497516
